"organization_type_choice","country","current_position_choice","years_research_exp","years_program_exp","gender","research_area","program_freq","peer_review","program_lang_choice","code_publishing","code_reuse_inner","code_reuse_outer","devel_practices","devel_practices_freq_version","devel_practices_freq_review","devel_practices_freq_ci","devel_practices_freq_unit","devel_practices_freq_regression","devel_practices_freq_system","code_reviewer_choice","genai_tool_exp_choice","genai_tool_freq","genai_primary_tool_choice","genai_access_mode_choice","genai_lines_accepted","space_s1","space_p1","space_p2","space_a1","space_c1","space_c2","space_e1","space_e2","space_global"
"Higher education","United States of America","Research staff",25,3,"Woman","Life sciences","Weekly","Yes","R","Never","Never","Never","Version control,Code review,Continuous integration","Sometimes","Always","Always",NA,NA,NA,"Someone else (please write in)","ChatGPT","Always","ChatGPT","Through a web browser","5-10 lines","Strongly agree","Neither agree nor disagree","Strongly agree","Neither agree nor disagree","Strongly agree","Neither agree nor disagree","Strongly agree","Strongly agree","Strongly agree"
"Higher education","United States of America","Post-doctoral researcher",11,2,"Woman","Life sciences","Less than once a month","Yes","R,MATLAB","Always","Sometimes","Most of the time","I am not familiar with any of these.",NA,NA,NA,NA,NA,NA,NA,"ChatGPT,A custom tool provided by organization,Google Gemini","About half the time","A custom tool provided by organization","Through a web browser","1-5 lines","Somewhat agree","Strongly agree","Somewhat agree","Strongly agree","Strongly agree","Somewhat agree","Somewhat agree","Strongly agree","Strongly agree"
"Higher education","United States of America","Student research assistant",5,2,"Man","Life sciences","Less than once a month","Yes","Python,R","Always","Never","Never","Version control,Code testing,Code review","Most of the time","Always",NA,"Never","Never","Never","A peer in your research group","ChatGPT","Sometimes","ChatGPT","Through a web browser","I don't use genAI to produce code suggestions directly","Somewhat agree","Somewhat agree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Neither agree nor disagree"
"Higher education","United States of America","Research staff",13,17,"Man","Life sciences","Daily","Yes","Python,R,Bash","Sometimes","Sometimes","Sometimes","Version control","Never",NA,NA,NA,NA,NA,NA,NA,"I've never tried",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Higher education","United States of America","Research staff",1,7,"Man","Engineering","Less than once a month","I'm not sure","MATLAB","Never","Sometimes","Never","I am not familiar with any of these.",NA,NA,NA,NA,NA,NA,NA,"ChatGPT,GitHub Copilot","Sometimes","GitHub Copilot","As a plugin for my programming environment (VS Code, RStudio, PyCharm, etc.)","50-100 lines","Neither agree nor disagree","Strongly agree","Somewhat agree","Neither agree nor disagree","Strongly agree","Somewhat agree","Strongly agree","Somewhat agree","Somewhat agree"
"Higher education","United States of America","Research staff",17,20,"Non-binary / gender-diverse","Social sciences","Monthly","Yes","Stata","Sometimes","About half the time","Sometimes","Version control,Code testing,Code review","Always","Sometimes",NA,"Most of the time","Never","Most of the time","A peer in your research group",NA,"I've never tried",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Higher education","United States of America","Research staff",12,10,"Man","Social sciences","Daily","Yes","R,Other","Sometimes","Sometimes","Sometimes","Version control,Code testing,Code review","Sometimes","Sometimes",NA,"Most of the time","Sometimes","Never","A peer in your research group","ChatGPT,A custom tool provided by organization,Claude,Perplexity","About half the time","A custom tool provided by organization","Through a web browser","5-10 lines","Somewhat agree","Strongly agree","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree"
"Higher education","United States of America","Post-doctoral researcher",9,NA,"Man","Physical sciences","Daily","Yes","Other","Never","Sometimes","Never","I am not familiar with any of these.",NA,NA,NA,NA,NA,NA,NA,"ChatGPT","Sometimes","ChatGPT","Through a web browser","1-5 lines","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Somewhat agree"
"National laboratory","United States of America","Research staff",5,6,"Woman","Geosciences, atmospheric sciences & ocean sciences","Daily","Yes","Python,R,MATLAB,FORTRAN","Most of the time","About half the time","Sometimes","Version control","About half the time",NA,NA,NA,NA,NA,"A collaborator outside the research group","ChatGPT,GitHub Copilot,Google Gemini","Always","ChatGPT","Through a web browser,As a plugin for my programming environment (VS Code, RStudio, PyCharm, etc.)","1-5 lines","Somewhat agree","Strongly agree","Somewhat disagree","Strongly agree","Somewhat agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree"
"Higher education","United States of America","Student research assistant",2,2,"Woman","Social sciences","Weekly","Yes","R","Most of the time","About half the time","Never","Code testing,Code review",NA,"Most of the time",NA,"Never","Most of the time","Most of the time","A peer in your research group","ChatGPT,A custom tool provided by organization,Perplexity,Other (please write in)","Sometimes","Other (please write in)","Through a web browser","10-50 lines","Somewhat agree","Strongly agree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Strongly agree","Somewhat agree","Somewhat agree","Somewhat agree"
"Higher education","United States of America","Student research assistant",9,12,"Man","Engineering","Daily","Yes","Python,C,C++,MATLAB,Bash","Most of the time","About half the time","Sometimes","Version control,Code review","Always","Sometimes",NA,NA,NA,NA,"A peer in your research group","GitHub Copilot,TabNine","Tried but gave up",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Higher education","United States of America","Post-doctoral researcher",7,6,"Woman","Psychology","Daily","Yes","R","Always","Sometimes","Sometimes","Version control,Code review","Always","Sometimes",NA,NA,NA,NA,"A peer in your research group","ChatGPT","Most of the time","ChatGPT","Through a web browser","1-5 lines","Strongly agree","Strongly agree","Neither agree nor disagree","Strongly agree","Somewhat agree","Neither agree nor disagree","Strongly agree","Strongly agree","Strongly agree"
"Higher education","United States of America","Research staff",4,1,"Non-binary / gender-diverse","Psychology","Less than once a month","Yes","Python,JavaScript","Never","Most of the time","Sometimes","Version control,Code testing,Code review","Always","Always",NA,"Always","Always","Always","A supervisor","ChatGPT,GitHub Copilot,Microsoft Copilot","Tried but gave up",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Higher education","United States of America","Student research assistant",3,0,"Man","Engineering","Weekly","Yes",NA,"Sometimes","Always","Sometimes","Code review",NA,"Most of the time",NA,NA,NA,NA,"A peer in your research group","ChatGPT","About half the time","ChatGPT","With a mobile app","1-5 lines","Somewhat disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Somewhat disagree","Neither agree nor disagree","Neither agree nor disagree","Somewhat disagree"
"Higher education","United States of America","Faculty",10,10,"Woman","Mathematics and statistics","Weekly","Yes","Python,R,C++,MATLAB","About half the time","Sometimes","Sometimes","I am not familiar with any of these.",NA,NA,NA,NA,NA,NA,NA,"ChatGPT","Sometimes","ChatGPT","Through a web browser","10-50 lines","Neither agree nor disagree","Strongly agree","Somewhat disagree","Somewhat agree","Strongly agree","Neither agree nor disagree","Somewhat agree","Strongly agree","Somewhat agree"
"Higher education","United States of America","Student research assistant",6,5,"Woman","Engineering","Weekly","Yes","Python,MATLAB","Never","Sometimes","Never","Version control,Code testing","Always",NA,NA,"Most of the time","Sometimes","Sometimes",NA,"ChatGPT","Always","ChatGPT","Through a web browser,With a mobile app","10-50 lines","Somewhat agree","Strongly agree","Neither agree nor disagree","Strongly agree","Strongly agree","Neither agree nor disagree","Strongly agree","Strongly agree","Strongly agree"
"Higher education","United States of America","Research staff",15,12,"Man","Life sciences","Daily","Yes","R,Bash","Sometimes","Most of the time","Sometimes","Version control","About half the time",NA,NA,NA,NA,NA,"A peer in your research group","ChatGPT,A custom tool provided by organization","Sometimes","A custom tool provided by organization","Through a web browser","5-10 lines","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Somewhat disagree","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Somewhat disagree","Somewhat agree"
"Higher education","United States of America","Student research assistant",1.25,9,"Man","Computer and information services","Daily","Yes","Python,MATLAB,JavaScript","Sometimes","Most of the time","Sometimes","Version control,Code testing,Code review,Continuous integration","Always","Sometimes","Never","Sometimes","Never","Sometimes","A supervisor","ChatGPT,GitHub Copilot,Google Gemini","Sometimes","GitHub Copilot","As a plugin for my programming environment (VS Code, RStudio, PyCharm, etc.)","<1 line","Strongly disagree","Strongly agree","Somewhat disagree","Neither agree nor disagree","Strongly agree","Strongly agree","Somewhat agree","Strongly agree","Somewhat agree"
"Higher education","United States of America","Research staff",2,5,"Woman","Life sciences","Daily","Yes","Python,R,Bash","Sometimes","Most of the time","Sometimes","Version control,Code review,Continuous integration","Always","About half the time","Most of the time",NA,NA,NA,NA,"ChatGPT,Claude","Most of the time","ChatGPT","Through a web browser","5-10 lines","Somewhat agree","Strongly agree","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Somewhat disagree","Somewhat agree"
"Higher education","United States of America","Student research assistant",2.5,3,"Woman","Life sciences","Monthly","Yes","Python,R","Always","About half the time","Sometimes","I am not familiar with any of these.",NA,NA,NA,NA,NA,NA,NA,"ChatGPT,Perplexity","Most of the time","ChatGPT","Through a web browser","5-10 lines","Strongly agree","Neither agree nor disagree","Strongly agree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Strongly agree","Strongly agree","Strongly agree"
"Higher education","United States of America","Research staff",24,5,"Woman","Other","Less than once a month","Yes","Java","Always","Never","Never","Version control,Code testing,Code review,Continuous integration","Always","Always","Always","Always","Always","Always","A peer in your research group",NA,"I've never tried",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Higher education","United States of America","Faculty",25,20,"Man","Social sciences","Weekly","Yes","Python,R,Stata","Most of the time","Most of the time","About half the time","Version control,Code testing,Code review","About half the time","Sometimes",NA,"Never","Never","Never","A peer in your research group","ChatGPT,Google Gemini,Claude,Claude Code,Microsoft Copilot","Most of the time","ChatGPT","Through a web browser,As a plugin for my programming environment (VS Code, RStudio, PyCharm, etc.)","1-5 lines","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree"
"Higher education","United States of America","Research staff",4,1,"Man","Psychology","Less than once a month","Yes","Other","Never","Most of the time","Never","I am not familiar with any of these.",NA,NA,NA,NA,NA,NA,NA,"ChatGPT","Tried but gave up",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Higher education","United States of America","Post-doctoral researcher",11,11,"Man","Life sciences","Monthly","Yes","Python,R","Sometimes","Sometimes","Never","I am not familiar with any of these.",NA,NA,NA,NA,NA,NA,NA,"ChatGPT,A custom tool provided by organization","Sometimes","A custom tool provided by organization","Through a web browser","5-10 lines","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Somewhat disagree","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree"
"Higher education","United States of America","Research staff",20,20,"Man","Computer and information services","Weekly","Yes","R,Bash","Sometimes","Most of the time","Sometimes","Version control,Code testing,Code review","Most of the time","Most of the time",NA,"Sometimes","Sometimes","Sometimes","A peer in your research group",NA,"I've never tried",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Higher education","United States of America","Post-doctoral researcher",8,8,"Woman","Physical sciences","Daily","Yes","Python","Most of the time","Sometimes","Never","Version control,Code testing,Code review,Continuous integration","Most of the time","Sometimes","Sometimes","Sometimes","Never","Never","A peer in your research group",NA,"I've never tried",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Higher education","United States of America","Student research assistant",1,2,"Man","Engineering","Monthly","Yes","Python,R","Sometimes","About half the time","Sometimes","Code testing,Continuous integration",NA,NA,"Sometimes","About half the time","About half the time","About half the time",NA,NA,"I've never tried",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Higher education","United States of America","Research staff",46,3,"Woman","Life sciences","Less than once a month","Yes","R","Never","Never","Never","I am not familiar with any of these.",NA,NA,NA,NA,NA,NA,NA,"Other (please write in)","I've never tried",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Higher education","United States of America","Other (self-describe)",3,25,"Man","Psychology","Weekly","Yes","Bash,Other","Always","Always","Most of the time","Version control,Code testing,Code review,Continuous integration","Always","About half the time","Never","Never","About half the time","Most of the time",NA,"ChatGPT,Microsoft Copilot,Other (please write in)","Tried but gave up",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Higher education","United States of America","Post-doctoral researcher",8,7,"Woman","Life sciences","Daily","Yes","R,Bash","Always","Sometimes","Sometimes","Version control","Sometimes",NA,NA,NA,NA,NA,NA,"Other (please write in)","I've never tried",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Higher education","United States of America","Student research assistant",7,7,"Woman","Geosciences, atmospheric sciences & ocean sciences","Daily","Yes","Python,Other","Most of the time","About half the time","Sometimes","Version control,Code testing,Code review,Continuous integration","Always","About half the time","Never","About half the time","About half the time","Most of the time",NA,"ChatGPT","Tried but gave up",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"Student research assistant",10,2,"Non-binary / gender-diverse","Engineering","Less than once a month","Yes","Python","Always","Sometimes","Sometimes","Version control,Code testing,Code review","Always","Most of the time",NA,"Never","Never","Sometimes","A peer in your research group","ChatGPT","Tried but gave up",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Higher education","United States of America","Research staff",4,10,"Woman","Social sciences","Daily","Yes","Python,Stata","Always","Sometimes","Never","I am not familiar with any of these.",NA,NA,NA,NA,NA,NA,NA,"Claude","Sometimes","Claude","Through a web browser","5-10 lines","Somewhat agree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Somewhat disagree","Strongly disagree","Somewhat agree","Neither agree nor disagree","Somewhat agree"
"Higher education","United States of America","Post-doctoral researcher",8,3,"Man","Engineering","Monthly","Yes","Python,R","Never","Sometimes","Never","I am not familiar with any of these.",NA,NA,NA,NA,NA,NA,NA,"ChatGPT","Most of the time","ChatGPT","Through a web browser","10-50 lines","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Strongly agree"
"Higher education","United States of America","Student research assistant",3,3,"Man","Physical sciences","Daily","Yes","Python,Bash","Always","Sometimes","Never","Version control,Code testing,Code review","Sometimes","Sometimes",NA,"Never","Never","Sometimes","A peer in your research group","ChatGPT","Tried but gave up",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Higher education","United States of America","Research staff",7,5,"Woman","Life sciences","Weekly","Yes","Python,R","Never","Sometimes","Most of the time","Code testing,Code review",NA,"About half the time",NA,"Never","Never","Never",NA,"ChatGPT","Sometimes","ChatGPT","Through a web browser","10-50 lines","Neither agree nor disagree","Strongly agree","Neither agree nor disagree","Somewhat agree","Strongly agree","Strongly agree","Somewhat agree","Strongly agree","Somewhat agree"
"Higher education","United States of America","Student research assistant",4,8,"Man","Physical sciences","Weekly","Yes","Python","Never","Always","Never","Version control,Code testing,Code review","Most of the time","Always",NA,"Always","Never","Never","A peer in your research group","ChatGPT","Sometimes","ChatGPT","Through a web browser","10-50 lines","Somewhat agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Neither agree nor disagree","Strongly agree","Strongly agree","Somewhat agree"
"Higher education","United States of America","Post-doctoral researcher",10,5,"Man","Engineering","Daily","Yes","C,C++,FORTRAN","Sometimes","Sometimes","Sometimes","I am not familiar with any of these.",NA,NA,NA,NA,NA,NA,NA,"ChatGPT,GitHub Copilot,Microsoft Copilot","About half the time","ChatGPT","Through a web browser,With a mobile app","1-5 lines","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree",NA,"Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree"
"Higher education","United States of America","Faculty",30,5,"Man","Life sciences","Less than once a month","Yes","C++,Other","Never","Sometimes","Sometimes","Version control","Sometimes",NA,NA,NA,NA,NA,NA,"ChatGPT","Sometimes",NA,"Through a web browser","I don't use genAI to produce code suggestions directly","Somewhat disagree","Strongly agree","Somewhat agree","Somewhat agree","Strongly agree","Neither agree nor disagree","Strongly agree","Strongly agree","Strongly agree"
"Higher education","United States of America","Student research assistant",1,0,"Woman","Other","Less than once a month","I'm not sure","Other","Never","Never","Never","I am not familiar with any of these.",NA,NA,NA,NA,NA,NA,NA,"ChatGPT","I've never tried",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Higher education","United States of America","Student research assistant",8,8,"Man","Engineering","Daily","Yes","MATLAB","About half the time","Most of the time","Sometimes","Version control,Code testing,Code review,Continuous integration","Always","Most of the time","Never","Sometimes","Never","Never","A peer in your research group","ChatGPT,Cursor,Other (please write in)","Sometimes","Other (please write in)","Through a web browser","10-50 lines","Neither agree nor disagree","Strongly agree","Neither agree nor disagree","Strongly agree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Somewhat disagree","Neither agree nor disagree"
"Higher education","United States of America","Student research assistant",2,5,"Woman","Engineering","Weekly","Yes","Other","Most of the time","Most of the time","Sometimes","Version control","Always",NA,NA,NA,NA,NA,NA,"ChatGPT,GitHub Copilot","Most of the time","ChatGPT","Through a web browser","1-5 lines","Somewhat disagree","Strongly agree","Somewhat agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Strongly agree"
"Higher education","United States of America","Other (self-describe)",5,5,"Man","Life sciences","Daily","Yes","Python,R,C++,MATLAB","Never","About half the time","Never","Version control,Code testing,Code review","Never","Never",NA,"Never","Never","Never",NA,"ChatGPT","Sometimes","ChatGPT","Through a web browser","10-50 lines","Somewhat disagree","Strongly agree","Somewhat agree","Somewhat disagree","Somewhat agree","Somewhat agree","Somewhat agree","Strongly agree","Strongly agree"
"Higher education","United States of America","Research staff",3,6,"Woman","Other","Daily","Yes","Python,R","About half the time","Never","Never","I am not familiar with any of these.",NA,NA,NA,NA,NA,NA,NA,"ChatGPT","Sometimes","ChatGPT","With a desktop app","1-5 lines","Neither agree nor disagree","Strongly agree","Strongly disagree","Strongly disagree","Strongly agree","Neither agree nor disagree","Strongly agree","Strongly agree","Strongly agree"
"Higher education","United States of America","Student research assistant",5,9,"Woman","Engineering","Weekly","Yes","MATLAB","Never","Most of the time","Never","I am not familiar with any of these.",NA,NA,NA,NA,NA,NA,NA,"ChatGPT","Most of the time","ChatGPT","Through a web browser","10-50 lines","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree"
"Higher education","China","Faculty",10,NA,"Man","Life sciences","Daily","Yes","Python,R","Most of the time","Most of the time","Most of the time","Code testing,Code review",NA,"Always",NA,"Always","Most of the time","Most of the time","A collaborator outside the research group","ChatGPT,GitHub Copilot","Most of the time","GitHub Copilot","As a plugin for my programming environment (VS Code, RStudio, PyCharm, etc.)",">100 lines","Somewhat agree","Somewhat agree","Somewhat agree","Strongly agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree"
"Higher education","United States of America","Research staff",3,4,"Woman","Social sciences","Weekly","Yes","R,Stata,Other","Sometimes","Sometimes","Never","Version control","Most of the time",NA,NA,NA,NA,NA,NA,"ChatGPT","Sometimes","ChatGPT","Through a web browser","1-5 lines","Somewhat agree","Strongly agree","Neither agree nor disagree","Neither agree nor disagree","Strongly agree","Neither agree nor disagree","Somewhat agree","Strongly agree","Somewhat agree"
"Higher education","United States of America","Research staff",15,30,"Man","Social sciences","Daily","Yes","Python,R,Other","Never","Most of the time","Sometimes","Version control,Code testing,Code review","Most of the time","About half the time",NA,"Sometimes","Sometimes","About half the time",NA,"ChatGPT,Google Gemini,Cursor,Claude,Microsoft Copilot","About half the time","Claude","Through a web browser","10-50 lines","Somewhat agree","Strongly agree","Somewhat agree","Neither agree nor disagree","Strongly agree","Neither agree nor disagree","Strongly agree","Strongly agree","Strongly agree"
"Higher education","United States of America","Faculty",15,20,"Man","Engineering","Daily","Yes","Python,Bash","Most of the time","Sometimes","Sometimes","Version control,Code testing,Code review","Always","Sometimes",NA,"Never","Never","Never","A peer in your research group","ChatGPT","About half the time","ChatGPT","Through a web browser","1-5 lines","Somewhat agree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Somewhat agree"
"Higher education","China","Faculty",10,NA,"Man","Computer and information services","Weekly","Yes","Python,R","Most of the time","Most of the time","Most of the time","Code testing,Code review",NA,"Most of the time",NA,"Most of the time","Most of the time","About half the time","A collaborator outside the research group","ChatGPT,GitHub Copilot","Most of the time","GitHub Copilot","As a plugin for my programming environment (VS Code, RStudio, PyCharm, etc.)",">100 lines","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree"
"Higher education","United States of America","Student research assistant",3,3,"Non-binary / gender-diverse","Physical sciences","Daily","Yes","Python,C++,Bash","Most of the time","Most of the time","About half the time","Version control,Code testing,Code review,Continuous integration","Always","Most of the time","Most of the time","Most of the time","Most of the time","About half the time","A peer in your research group","ChatGPT,GitHub Copilot,Cursor,Claude","Sometimes","Cursor","As a plugin for my programming environment (VS Code, RStudio, PyCharm, etc.)","1-5 lines","Somewhat disagree","Somewhat agree","Strongly disagree","Somewhat disagree","Somewhat agree","Strongly disagree","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree"
"Higher education","United States of America","Student research assistant",4,6,"Non-binary / gender-diverse","Engineering","Daily","Yes","Python,C++,MATLAB,Julia","Most of the time","Sometimes","Never","Version control,Code testing,Code review","Most of the time","Never",NA,"Never","Never","Never",NA,"ChatGPT,Claude","About half the time","ChatGPT","Through a web browser,As a plugin for my programming environment (VS Code, RStudio, PyCharm, etc.)","10-50 lines","Strongly disagree","Strongly agree","Somewhat disagree","Somewhat agree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Neither agree nor disagree"
"Higher education","United States of America","Student research assistant",9,5,"Man","Engineering","Daily","Yes","C++,MATLAB","About half the time","Sometimes","Sometimes","Version control,Code testing,Code review,Continuous integration","Most of the time","Never","Sometimes","About half the time","Never","Never",NA,"ChatGPT","Most of the time","ChatGPT","Through a web browser","10-50 lines","Strongly agree","Strongly agree","Somewhat agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree"
"Higher education","United States of America","Post-doctoral researcher",12,NA,"Man","Engineering","Daily","Yes","Python,C,C++,FORTRAN,Julia,Bash","Most of the time","Always","Most of the time","Version control,Code testing,Code review,Continuous integration","Always","Never","About half the time","Most of the time","Most of the time","Sometimes",NA,"ChatGPT,GitHub Copilot,Google Gemini,Claude,Other (please write in)","About half the time","Google Gemini","Through a web browser","I don't use genAI to produce code suggestions directly","Neither agree nor disagree","Strongly agree","Strongly disagree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Somewhat agree"
"Higher education","United States of America","Post-doctoral researcher",8,8,"Man","Engineering","Daily","Yes","Python,Bash","Sometimes","Sometimes","Sometimes","Version control,Code testing","Always",NA,NA,"Never","Never","Never",NA,"ChatGPT,GitHub Copilot,Google Gemini,Claude","Always","Claude","As a plugin for my programming environment (VS Code, RStudio, PyCharm, etc.)","5-10 lines","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree"
"Other (self-describe)","United States of America","Research staff",15,10,"Woman","Psychology","Less than once a month","Yes","Python,R,Other","Never","Most of the time","Never","Version control,Code testing,Code review","Always","Always",NA,"Always","Always","Always","A collaborator outside the research group",NA,"I've never tried",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Higher education","United States of America","Post-doctoral researcher",12,20,"Man","Life sciences","Weekly","Yes","R,MATLAB","About half the time","Most of the time","Most of the time","Version control,Code testing,Code review","Sometimes","Sometimes",NA,"Most of the time","Sometimes","Sometimes","A peer in your research group",NA,"I've never tried",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Higher education","United States of America","Student research assistant",5,8,"Man","Social sciences","Weekly","Yes","Python,R,Stata,Other","About half the time","Always","Sometimes","Version control,Code testing,Code review,Continuous integration","Always","Always","Most of the time","Always","Most of the time","Most of the time","A peer in your research group","ChatGPT,A custom tool provided by organization","Sometimes","ChatGPT","Through a web browser","1-5 lines","Strongly agree","Strongly agree","Neither agree nor disagree","Somewhat disagree","Strongly agree","Somewhat agree","Somewhat agree","Somewhat agree","Strongly agree"
"National laboratory","United States of America","Research staff",5,13,"Woman","Other","Daily","Yes","Python,R,Bash","Never","Sometimes","Never","Version control,Code testing,Code review,Continuous integration","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","A supervisor","ChatGPT","I've never tried",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Higher education","United States of America","Student research assistant",1.6,4,"Woman","Education","Less than once a month","Yes","MATLAB","Never","Sometimes","Never","Version control,Code testing,Code review","Sometimes","Never",NA,"Sometimes","Never","Never",NA,"ChatGPT,GitHub Copilot,Claude,Perplexity","Always","ChatGPT","Through a web browser,As a plugin for my programming environment (VS Code, RStudio, PyCharm, etc.)",">100 lines","Somewhat agree","Somewhat disagree","Somewhat agree","Somewhat disagree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree"
"Higher education","United States of America","Research staff",7,10,"Woman","Life sciences","Weekly","Yes","Python,R","Sometimes","Most of the time","Never","I am not familiar with any of these.",NA,NA,NA,NA,NA,NA,NA,"ChatGPT","Sometimes","ChatGPT","Through a web browser","<1 line","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Strongly disagree","Strongly agree","Strongly disagree","Somewhat agree"
"Higher education","United States of America","Student research assistant",8,5,"Woman","Life sciences","Monthly","Yes","R,Bash","Sometimes","Never","Never","I am not familiar with any of these.",NA,NA,NA,NA,NA,NA,NA,"ChatGPT","Tried but gave up",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Higher education","United States of America","Student research assistant",1.3,6,"Man","Computer and information services","Daily","Yes","Python,Bash","Always","Sometimes","Never","Version control,Code testing,Code review,Continuous integration","Never","Never","Never","Never","Never","Never",NA,"ChatGPT","Most of the time","ChatGPT","Through a web browser","1-5 lines","Somewhat agree","Neither agree nor disagree","Strongly disagree","Strongly agree","Somewhat disagree","Strongly disagree","Strongly agree","Somewhat agree","Strongly agree"
"Higher education","United States of America","Student research assistant",2,5,"Man","Engineering","Weekly","Yes","Python,MATLAB","Sometimes","About half the time","Never","Code testing,Code review",NA,"About half the time",NA,"Most of the time","Sometimes","About half the time",NA,"ChatGPT","Sometimes","ChatGPT","Through a web browser","1-5 lines","Somewhat agree","Neither agree nor disagree","Somewhat agree","Somewhat disagree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Strongly agree","Somewhat agree"
"Higher education","United States of America","Student research assistant",9,8,"Man","Physical sciences","Less than once a month","Yes","MATLAB","Never","Sometimes","Never","Code testing",NA,NA,NA,"Never","Never","Never",NA,NA,"I've never tried",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Higher education","United States of America","Faculty",45,55,NA,"Physical sciences","Weekly","Yes","FORTRAN","Never","Always","Always","Version control,Code testing,Code review","Always","Always",NA,"Always",NA,"Always","Someone else (please write in)","Other (please write in)","Tried but gave up",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Higher education","United States of America","Faculty",5,15,"Woman","Social sciences","Weekly","Yes","R","Never","Sometimes","Never","I am not familiar with any of these.",NA,NA,NA,NA,NA,NA,NA,NA,"I've never tried",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
